experiment_id,sample_id,domain,method,round_trip,direction,canonical_included,exclusion_reason,execution_route,execution_status,commit_outcome,preservation_violations,rs,critical_failure,input_tokens,output_tokens,total_tokens,latency_ms,failure_stage,failure_label,raw_artifact_id,raw_call_ids,raw_ref
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,1,forward,true,,bounded_rewrite,success,applied,0,,,6627,10118,16745,59687,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000001_050eeeed,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt01/forward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,1,backward,true,,local_patch,success,applied,0,0.999804,false,6961,15705,22666,100870,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000002_515d9bcd,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt01/backward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,2,forward,true,,local_patch,success,applied,0,,,6656,21210,27866,177196,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000003_dd8eb58d,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt02/forward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,2,backward,true,,bulk_patch,success,applied,0,0.999804,false,6629,1716,8345,13356,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000004_a4b2d520,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt02/backward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,3,forward,true,,bounded_rewrite,success,applied,0,,,6685,27760,34445,220273,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000005_80e6e600,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt03/forward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,3,backward,true,,bulk_patch,success,applied,0,0.999804,false,7265,2505,9770,21270,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000006_ccf926c5,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt03/backward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,4,forward,true,,bounded_rewrite,success,applied,0,,,6671,26948,33619,182296,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000007_cd21b535,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt04/forward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,4,backward,true,,local_patch,success,applied,0,0.999804,false,7087,1685,8772,14467,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000008_708e638e,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt04/backward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,5,forward,true,,bounded_rewrite,success,applied,0,,,6637,15640,22277,112403,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000009_d3b208d0,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt05/forward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,5,backward,true,,local_patch,success,applied,0,0.999804,false,6646,11996,18642,80039,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000010_7af3cdb7,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt05/backward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,6,forward,true,,bounded_rewrite,success,applied,0,,,11458,20482,31940,136273,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000011_b02ee5dc;call000012_471c1b16,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt06/forward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,6,backward,true,,local_patch,success,applied,0,0.999804,false,6952,4429,11381,39371,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000013_820ccc96,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt06/backward
exp_20260711_hybridv7dev20full,circuit2,circuit,hybridpatch,7,forward,true,,bounded_rewrite,success,applied,0,,,6634,15951,22585,104324,none,none,exp_20260711_hybridv7dev20full-raw-v1,call000014_d11db655,exp_20260711_hybridv7dev20full-raw-v1#hybridpatch/circuit2/rt07/forward
